Species,Number
Snow Goose,"1,264"
Brant,"10,015"
Canada Goose,"3,512"
Mute Swan,169
Wood Duck,2
Gadwall,116
American Wigeon,88
American Black Duck,"1,049"
Mallard,758
Northern Shoveler,513
Northern Pintail,12
Green-winged Teal,75
Ring-necked Duck,1
Greater Scaup,761
Lesser Scaup,249
King Eider,5
Common Eider,67
Surf Scoter,17
White-winged Scoter,14
Black Scoter,196
scoter sp.,135
Long-tailed Duck,153
Bufflehead,927
Common Goldeneye,44
Hooded Merganser,72
Common Merganser,3
Red-breasted Merganser,748
Ruddy Duck,576
Red-throated Loon,154
Common Loon,165
Pied-billed Grebe,2
Horned Grebe,100
Red-necked Grebe,1
Northern Gannet,2
Double-crested Cormorant,121
Great Cormorant,31
Great Blue Heron (Blue form),37
Great Egret,1
Black-crowned Night-Heron,2
Turkey Vulture,2
Northern Harrier,42
Sharp-shinned Hawk,9
Cooper's Hawk,21
Red-shouldered Hawk,7
Red-tailed Hawk,32
Ridgway's/Mangrove/Clapper Rail,1
American Coot,92
American Oystercatcher,1
Black-bellied Plover,22
Killdeer,6
Spotted Sandpiper,1
Greater Yellowlegs,1
Ruddy Turnstone,4
Sanderling,279
Dunlin,37
Purple Sandpiper,28
American Woodcock,1
Bonaparte's Gull,"2,789"
Mew Gull (European),1
Ring-billed Gull,"6,523"
Herring Gull,"3,808"
Iceland Gull,2
Lesser Black-backed Gull,1
Great Black-backed Gull,483
Rock Pigeon (Feral Pigeon),"1,070"
Mourning Dove,213
Barn Owl,3
Great Horned Owl,1
Short-eared Owl,1
Northern Saw-whet Owl,1
Belted Kingfisher,4
Red-bellied Woodpecker,42
Yellow-bellied Sapsucker,13
Downy Woodpecker,112
Hairy Woodpecker,1
Northern Flicker,61
American Kestrel,20
Merlin,11
Peregrine Falcon,8
Monk Parakeet,7
Blue Jay,192
American Crow,303
Fish Crow,248
Common Raven,9
Horned Lark,273
Black-capped Chickadee,344
Tufted Titmouse,88
Red-breasted Nuthatch,15
White-breasted Nuthatch,55
Brown Creeper,5
Winter Wren,13
Marsh Wren,1
Carolina Wren,89
Golden-crowned Kinglet,1
Ruby-crowned Kinglet,7
Veery,1
Hermit Thrush,16
American Robin,265
Gray Catbird,24
Northern Mockingbird,143
European Starling,"1,247"
American Pipit,78
Cedar Waxwing,15
Lapland Longspur,1
Snow Bunting,144
Ovenbird,1
Orange-crowned Warbler,3
Common Yellowthroat,2
Palm Warbler,1
Pine Warbler,1
Yellow-rumped Warbler,278
Yellow-breasted Chat,1
American Tree Sparrow,140
Chipping Sparrow,10
Field Sparrow,10
Fox Sparrow,55
Dark-eyed Junco,201
White-crowned Sparrow,1
White-throated Sparrow,943
Savannah Sparrow,113
Song Sparrow,480
Lincoln's Sparrow,3
Swamp Sparrow,58
Eastern Towhee,13
Northern Cardinal,313
Red-winged Blackbird,407
Rusty Blackbird,1
Common Grackle,7
Boat-tailed Grackle,650
Brown-headed Cowbird,5
Baltimore Oriole,3
House Finch,130
Purple Finch,4
Red Crossbill,7
Common Redpoll,9
Pine Siskin,11
American Goldfinch,96
House Sparrow,470